Mode of Travel,Zone Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index)
Bus - StL Bus Index,Origin,N/A,27053007801,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),178
Bus - StL Bus Index,Origin,N/A,27053008100,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),1253
Bus - StL Bus Index,Origin,N/A,27053008100,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),94
Bus - StL Bus Index,Origin,N/A,27053008100,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),169
Bus - StL Bus Index,Origin,N/A,27053008100,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),353
Bus - StL Bus Index,Origin,N/A,27053008100,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),350
Bus - StL Bus Index,Origin,N/A,27053008100,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),288
Bus - StL Bus Index,Origin,N/A,27053008100,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),1153
Bus - StL Bus Index,Origin,N/A,27053008100,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),58
Bus - StL Bus Index,Origin,N/A,27053008100,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),195
Bus - StL Bus Index,Origin,N/A,27053008100,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),313
Bus - StL Bus Index,Origin,N/A,27053008100,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),332
Bus - StL Bus Index,Origin,N/A,27053008100,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),254
Bus - StL Bus Index,Origin,N/A,27053008100,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),1345
Bus - StL Bus Index,Origin,N/A,27053008100,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),166
Bus - StL Bus Index,Origin,N/A,27053008100,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),92
Bus - StL Bus Index,Origin,N/A,27053008100,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),392
Bus - StL Bus Index,Origin,N/A,27053008100,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),396
Bus - StL Bus Index,Origin,N/A,27053008100,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),299
Bus - StL Bus Index,Origin,N/A,27053008200,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),1620
Bus - StL Bus Index,Origin,N/A,27053008200,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),103
Bus - StL Bus Index,Origin,N/A,27053008200,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),244
Bus - StL Bus Index,Origin,N/A,27053008200,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),522
Bus - StL Bus Index,Origin,N/A,27053008200,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),469
Bus - StL Bus Index,Origin,N/A,27053008200,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),281
Bus - StL Bus Index,Origin,N/A,27053008200,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),1612
Bus - StL Bus Index,Origin,N/A,27053008200,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),100
Bus - StL Bus Index,Origin,N/A,27053008200,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),297
Bus - StL Bus Index,Origin,N/A,27053008200,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),501
Bus - StL Bus Index,Origin,N/A,27053008200,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),465
Bus - StL Bus Index,Origin,N/A,27053008200,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),248
Bus - StL Bus Index,Origin,N/A,27053008200,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),1459
Bus - StL Bus Index,Origin,N/A,27053008200,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),96
Bus - StL Bus Index,Origin,N/A,27053008200,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),117
Bus - StL Bus Index,Origin,N/A,27053008200,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),529
Bus - StL Bus Index,Origin,N/A,27053008200,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),432
Bus - StL Bus Index,Origin,N/A,27053008200,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),286
